Time,Timestamp,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10
0.000,2026-04-09 12:18:25.957811,16.299826,15.573774,19.119049,9.136696,19.362875,10.729854,16.267838,19.931986,0.000000,0.000000
0.004,2026-04-09 12:18:25.961811,13.942701,14.148038,15.497067,5.428801,15.516912,11.596680,11.201941,18.559031,0.000000,0.000000
0.008,2026-04-09 12:18:25.965811,8.457835,10.724327,9.400724,6.157585,11.917526,8.433614,4.986339,14.225141,0.000000,0.000000
0.012,2026-04-09 12:18:25.969811,0.966709,6.890016,6.620185,8.983960,11.013921,4.491179,0.422590,7.611247,0.000000,0.000000
0.016,2026-04-09 12:18:25.973811,-5.435287,4.250442,6.454797,10.975189,12.024419,2.053749,-1.931516,1.413983,0.000000,0.000000
0.020,2026-04-09 12:18:25.977811,-8.321492,3.496157,4.287855,10.483778,12.558630,-2.876541,-2.087680,-3.521414,0.000000,0.000000
0.024,2026-04-09 12:18:25.981811,-7.496844,2.070105,-0.415354,5.208770,11.208754,-5.276545,-0.158408,-6.861518,0.000000,0.000000
0.028,2026-04-09 12:18:25.985811,-4.632541,0.114372,-6.274424,-2.593175,5.765040,-2.535287,-0.162899,-7.416451,0.000000,0.000000
0.032,2026-04-09 12:18:25.989811,-3.504686,0.359213,-10.603699,-10.074240,-3.033974,-1.758309,-2.643852,-7.626209,0.000000,0.000000
0.036,2026-04-09 12:18:25.993811,-6.241968,0.391388,-13.503113,-16.919287,-10.540924,-4.481319,-4.950909,-12.159207,0.000000,0.000000
0.040,2026-04-09 12:18:25.997811,-11.248894,-1.667904,-17.925131,-20.302576,-13.956388,-8.588613,-8.267248,-19.955856,0.000000,0.000000
0.044,2026-04-09 12:18:26.001811,-14.829788,-3.802945,-21.387533,-18.313196,-15.039853,-13.364835,-13.774920,-24.874670,0.000000,0.000000
0.048,2026-04-09 12:18:26.005811,-15.663907,-4.461454,-22.650143,-12.677977,-15.747498,-16.455423,-16.355743,-25.174603,0.000000,0.000000
0.052,2026-04-09 12:18:26.009811,-14.986371,-5.538963,-22.429211,-7.218130,-14.140120,-17.339493,-14.665166,-23.128357,0.000000,0.000000
0.056,2026-04-09 12:18:26.013811,-14.001602,-7.903812,-19.534283,-3.950663,-11.555021,-18.714193,-10.119496,-20.445734,0.000000,0.000000
0.060,2026-04-09 12:18:26.017811,-12.519096,-8.746778,-15.329730,-2.357428,-9.757643,-20.258963,-1.882229,-19.759165,0.000000,0.000000
0.064,2026-04-09 12:18:26.021811,-9.215378,-7.872828,-11.121048,-2.308589,-8.641356,-19.325775,6.034083,-19.772915,0.000000,0.000000
0.068,2026-04-09 12:18:26.025811,-5.635120,-6.720577,-7.329047,-2.609800,-10.075879,-15.278804,9.839659,-15.572136,0.000000,0.000000
0.072,2026-04-09 12:18:26.029811,-1.461010,-4.390691,-5.541903,-1.325954,-10.331383,-7.261088,11.844679,-9.115491,0.000000,0.000000
0.076,2026-04-09 12:18:26.033811,4.484056,-1.902492,-6.177691,1.892147,-5.808942,2.669378,13.521561,-2.609849,0.000000,0.000000
0.080,2026-04-09 12:18:26.037811,9.554214,0.023507,-5.921365,6.148041,1.401776,9.647881,12.410327,5.397632,0.000000,0.000000
0.084,2026-04-09 12:18:26.041811,14.235646,4.251680,-2.760738,11.177678,7.517100,14.309772,9.645480,12.545103,0.000000,0.000000
0.088,2026-04-09 12:18:26.045811,19.095642,9.516615,2.367695,15.118907,9.569595,17.896997,9.243675,16.511227,0.000000,0.000000
0.092,2026-04-09 12:18:26.049811,20.711817,11.638693,7.909778,17.621832,8.822276,17.410730,11.355024,17.658503,0.000000,0.000000
0.096,2026-04-09 12:18:26.053811,19.915573,11.100624,12.517889,19.255056,8.944377,13.017447,14.593407,18.031488,0.000000,0.000000
0.100,2026-04-09 12:18:26.057811,21.060059,10.627327,15.358378,17.565598,10.873610,8.353457,18.583267,17.861837,0.000000,0.000000
0.104,2026-04-09 12:18:26.061811,21.746506,11.744718,16.000332,14.328520,11.758057,5.769917,20.090164,14.259787,2.000000,1.000000
0.108,2026-04-09 12:18:26.065811,15.839491,14.330732,15.053227,12.462395,11.731764,6.459226,16.070187,8.549932,2.000000,1.000000
0.112,2026-04-09 12:18:26.069811,6.526472,15.457395,11.726878,10.910965,13.269107,7.795131,10.339864,3.507425,2.000000,1.000000
0.116,2026-04-09 12:18:26.073811,1.130150,12.211871,6.978861,9.665960,13.888664,6.125830,6.189166,0.047160,2.000000,1.000000
0.120,2026-04-09 12:18:26.077811,0.084046,5.247402,3.577950,7.089622,11.051845,2.995496,3.123910,-0.607462,2.000000,1.000000
0.124,2026-04-09 12:18:26.081811,0.514851,-2.337230,2.342740,2.273118,7.454264,0.116837,2.771798,0.887186,2.000000,1.000000
0.128,2026-04-09 12:18:26.085811,0.986190,-9.194260,1.598107,-2.609626,5.299529,-1.808145,3.243750,1.823252,2.000000,1.000000
0.132,2026-04-09 12:18:26.089811,-0.340732,-14.949214,-0.889925,-5.858768,2.354367,-3.593722,-0.440029,1.108932,2.000000,1.000000
0.136,2026-04-09 12:18:26.093811,-4.340326,-16.935547,-3.108039,-6.635863,-4.004265,-7.439161,-8.083717,0.862852,2.000000,1.000000
0.140,2026-04-09 12:18:26.097811,-9.514483,-15.995834,-2.632460,-9.625029,-11.609343,-12.185969,-16.270761,1.418967,2.000000,1.000000
0.144,2026-04-09 12:18:26.101811,-14.379250,-17.149185,-1.985718,-16.781027,-17.081604,-15.881277,-19.850866,0.921676,2.000000,1.000000
0.148,2026-04-09 12:18:26.105811,-16.177475,-18.391348,-3.365734,-21.286810,-19.767023,-17.470316,-18.242462,-2.992387,2.000000,1.000000
0.152,2026-04-09 12:18:26.109811,-14.024626,-15.448436,-6.050354,-19.743851,-17.675226,-17.338421,-17.703686,-8.880290,2.000000,1.000000
0.156,2026-04-09 12:18:26.113811,-11.915024,-12.236476,-8.669563,-14.681935,-11.375943,-15.237124,-17.105728,-12.471975,2.000000,1.000000
0.160,2026-04-09 12:18:26.117811,-13.017120,-10.281993,-7.461516,-8.227768,-4.410602,-11.922490,-12.792532,-13.050084,2.000000,1.000000
0.164,2026-04-09 12:18:26.121811,-14.267410,-6.475198,-2.679142,-2.874579,1.576472,-9.948667,-6.248199,-10.023479,2.000000,1.000000
0.168,2026-04-09 12:18:26.125811,-11.659515,-1.962146,0.815746,-1.301405,4.571917,-7.820969,1.672560,-2.028219,2.000000,1.000000
0.172,2026-04-09 12:18:26.129811,-7.427345,0.187985,2.996356,-0.613317,5.639137,-5.406095,8.242170,8.008749,2.000000,1.000000
0.176,2026-04-09 12:18:26.133811,-2.876848,0.371178,5.468788,1.888487,6.197952,-3.392665,10.700152,14.327725,2.000000,1.000000
0.180,2026-04-09 12:18:26.137811,3.283109,1.739317,8.032933,5.134566,7.042842,0.497570,9.562465,15.561646,2.000000,1.000000
0.184,2026-04-09 12:18:26.141811,7.855425,3.894592,9.687170,8.792087,9.234942,5.191916,7.628058,15.565580,2.000000,1.000000
0.188,2026-04-09 12:18:26.145811,9.089519,6.412081,11.049420,10.925018,9.987279,8.066040,7.460495,17.964291,2.000000,1.000000
0.192,2026-04-09 12:18:26.149811,10.513164,10.694771,13.242903,9.659396,9.391586,10.152080,9.572815,21.776108,2.000000,1.000000
0.196,2026-04-09 12:18:26.153811,11.763153,14.355418,13.595019,7.398051,9.974597,12.620717,13.845202,23.974167,2.000000,1.000000
0.200,2026-04-09 12:18:26.157811,9.699855,14.359068,11.675138,7.926552,11.603442,15.514090,17.910839,22.248215,2.000000,1.000000
0.204,2026-04-09 12:18:26.161811,6.309834,11.393463,10.726583,11.230568,14.446813,17.734478,18.727036,15.351608,2.000000,1.000000
0.208,2026-04-09 12:18:26.165811,5.088634,8.365987,10.659877,13.612961,17.019974,18.248638,15.408467,5.509953,2.000000,1.000000
0.212,2026-04-09 12:18:26.169811,5.921846,7.008166,11.187431,11.678714,14.827617,17.324991,9.114306,-2.277147,2.000000,1.000000
0.216,2026-04-09 12:18:26.173811,6.750698,7.514135,13.232516,6.423650,9.965660,13.754291,3.429129,-4.801703,2.000000,1.000000
0.220,2026-04-09 12:18:26.177811,6.219974,6.987019,13.187424,1.398693,6.847521,8.684743,0.417188,-1.677542,2.000000,1.000000
0.224,2026-04-09 12:18:26.181811,3.167849,3.193956,7.317728,-2.068494,3.270017,2.790910,-3.169665,2.392097,2.000000,1.000000
0.228,2026-04-09 12:18:26.185811,-2.155944,-1.768983,-2.151278,-5.859148,-1.335301,-4.378222,-8.730281,1.919279,2.000000,1.000000
0.232,2026-04-09 12:18:26.189811,-6.083094,-6.249644,-11.295523,-13.373219,-5.894900,-10.734779,-13.004311,-3.915057,2.000000,1.000000
0.236,2026-04-09 12:18:26.193811,-5.988702,-9.635364,-17.816076,-22.687567,-11.984309,-16.010263,-16.144571,-13.136368,2.000000,1.000000
0.240,2026-04-09 12:18:26.197811,-4.085664,-10.616705,-19.687429,-25.482279,-20.389736,-18.778622,-18.443157,-20.513266,2.000000,1.000000
0.244,2026-04-09 12:18:26.201811,-3.719837,-8.370947,-18.123795,-19.723644,-26.263073,-18.571182,-17.758667,-23.224237,2.000000,1.000000
0.248,2026-04-09 12:18:26.205811,-7.893440,-6.389739,-16.271658,-14.467812,-25.121964,-18.095840,-15.266447,-22.692852,2.000000,1.000000
0.252,2026-04-09 12:18:26.209811,-17.966949,-8.393628,-13.987206,-13.757271,-21.267664,-16.082928,-12.666995,-21.767162,2.000000,1.000000
0.256,2026-04-09 12:18:26.213811,-27.081625,-11.117375,-11.264198,-13.405713,-17.400982,-10.594808,-11.258243,-20.366404,2.000000,1.000000
0.260,2026-04-09 12:18:26.217811,-26.633825,-11.459569,-9.967593,-11.291608,-13.673335,-4.132004,-12.601598,-17.264200,2.000000,1.000000
0.264,2026-04-09 12:18:26.221811,-19.373409,-10.541928,-8.291797,-6.134185,-12.317409,-0.624927,-12.845406,-14.070086,2.000000,1.000000
0.268,2026-04-09 12:18:26.225811,-11.428538,-8.641655,-3.831363,0.663855,-11.269394,-1.952616,-9.090192,-10.124173,2.000000,1.000000
0.272,2026-04-09 12:18:26.229811,-5.444416,-4.164597,-0.540852,4.945113,-6.803622,-3.903123,-4.759669,-5.421007,2.000000,1.000000
0.276,2026-04-09 12:18:26.233811,-2.292861,2.812461,-0.541580,5.654700,0.208577,-1.656512,0.340166,-2.764217,2.000000,1.000000
0.280,2026-04-09 12:18:26.237811,0.711689,8.326116,0.332153,5.812894,4.487753,1.848855,7.149505,-0.552136,2.000000,1.000000
0.284,2026-04-09 12:18:26.241811,5.261996,12.252876,3.462752,7.685832,6.433200,5.361284,11.335388,3.011105,2.000000,1.000000
0.288,2026-04-09 12:18:26.245811,11.253952,15.295611,7.899982,11.068520,10.331510,10.422562,13.671618,5.121601,2.000000,1.000000
0.292,2026-04-09 12:18:26.249811,16.536219,14.618108,13.789775,15.110684,13.560369,15.200475,17.152487,7.673419,2.000000,1.000000
